Basketball Still Open,Borough,ClosureType,EditDate,GISpropNum,Handball Still Open,MPPA Still Open,OMPpropID,Red Sign Installed,Status,Tennis Still Open,accessibility,accessibilityLevel,location,name,point,rules,system,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
,B,Not Lockable,05/21/2020 11:06:46 AM,B326,,,B326,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Clinton St. between Verandah Pl. and Congress St.,Cobble Hill Park,POINT (-73.9964407549974 40.68834140398793),Adults not allowed in some locations,B326-CPA-0001,"16,865",14,2,27,48
,M,Completely Locked,05/21/2020 11:07:46 AM,M236,,,M236,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Lexington Ave., E. 95 St. To E. 96 St.",Samuel Seabury Playground,POINT (-73.950705608907 40.78551191476255),Adults Allowed,M236-CPA-0001,"10,099",23,4,1,11
,M,Completely Locked,05/21/2020 11:07:10 AM,M028,,,M028-03,,COVID-19 Closure,,false,Not Applicable,"Within Zone 1A, Along Hudson River At Approximately W 163 St",Discovery Playground,POINT (-73.94767461839041 40.84018108695653),Adults not allowed in some locations,M028-CPA-0002,"13,090",47,4,23,21
,X,Completely Locked,05/21/2020 11:10:12 AM,X271,,,X271,,COVID-19 Closure,,false,Not Applicable,E 170 St bet. Sheridan Av and Morris Av,Grant Park,POINT (-73.91387359355451 40.836061939132186),Unknown,X271-CPA-0001,"10,934",50,5,42,27
,B,Completely Locked,05/21/2020 11:06:03 AM,B158,,,B158,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,18 Ave. bet. 83 St. and 82 St.,Garibaldi Playground,POINT (-74.00011845336108 40.60893573535234),Adults Allowed,B158-CPA-0001,"17,616",1,2,45,37
,Q,Completely Locked,05/21/2020 11:10:34 AM,Q471,,,Q471-01,,COVID-19 Closure,,,,,Hunter's Point South Playground (North),POINT (-73.96042454620768 40.74299005773622),,,"16,864",53,3,33,66
,B,Completely Locked,05/21/2020 11:55:22 AM,B217,,,B217,,COVID-19 Closure,,false,Not Applicable,Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,Marcy Playground,POINT (-73.94988354544951 40.695613937869794),Adults Allowed,B217-CPA-0001,"17,213",69,2,49,51
,R,Completely Locked,05/21/2020 11:09:16 AM,R012,,,R012,,COVID-19 Closure,,false,Not Applicable,"High St., Lyman Ave., Bay St. and Summer St.",White Park,POINT (-74.06297751976027 40.607390220967005),Adults not allowed in some locations,R012-CPA-0001,"10,692",4,1,14,74
,Q,Completely Locked,05/21/2020 11:08:46 AM,Q317,,,Q317,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,64 Ave. bet. 218 St. and 219 St.,Tall Oak Playground,POINT (-73.758077886749 40.746295306916835),Adults Allowed,Q317-CPA-0001,"14,506",26,3,16,69
,B,Completely Locked,05/21/2020 11:05:53 AM,B098,,,B098,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,2 Ave. bet. 55 St. and 56 St.,Martin Luther Playground,POINT (-74.01990770394158 40.64577250184221),Adults Allowed,B098-CPA-0001,"18,180",9,2,7,45
,M,Completely Locked,05/21/2020 11:07:03 AM,M010,,,M010-090,,COVID-19 Closure,,false,Not Applicable,68 St & Central Park West (E),The Tarr-Coyne Tots Playground,POINT (-73.97706441244853 40.77332355951838),Unknown,M010-CPA-0005,,19,4,19,13
,M,Completely Locked,05/21/2020 11:07:36 AM,M190,,,M190,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 126 St. to W. 129 St., Amsterdam Ave. to Old Broadway",Sheltering Arms Playground,POINT (-73.95580849921934 40.81458400791152),Unknown,M190-CPA-0001,"12,424",37,4,23,17
,Q,Completely Locked,05/21/2020 11:08:43 AM,Q300,,,Q300-05,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Colden & Juniper Sts,Rachel Carson Playground,POINT (-73.82201395820057 40.749242308501366),Unknown,Q300-CPA-0004,"14,190",22,3,3,67
,Q,Completely Locked,05/21/2020 11:08:08 AM,Q022,,,Q022,,COVID-19 Closure,,false,Not Applicable,37 Ave. bet. Bowne St. and Parsons Blvd.,Margaret I. Carman Green - Weeping Beech,POINT (-73.8245881861926 40.76367400758754),Adults Allowed,Q022-CPA-0001,"13,832",22,3,3,67
,Q,Completely Locked,05/21/2020 11:08:40 AM,Q298,,,Q298,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,20 Ave. bet. 47 St. and 48 St.,Paul Raimonda Playground,POINT (-73.8975802268552 40.772578060336684),Adults Allowed,Q298-CPA-0001,"16,862",39,3,4,72
,B,Completely Locked,05/21/2020 11:06:36 AM,B293,,,B293,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lafayette Ave. and Classon Ave.,Classon Playground,POINT (-73.96046436382187 40.68927820402047),Adults Allowed,B293-CPA-0001,"13,829",68,2,48,55
,X,Completely Locked,05/21/2020 11:09:50 AM,X121,,,X121,,COVID-19 Closure,,false,Not Applicable,Bradford Ave. bet. La Salle Ave. and Waterbury Ave.,Bufano Park,POINT (-73.83091196673031 40.8378545580122),Adults Allowed,X121-CPA-0001,"11,270",43,5,12,28
,B,Completely Locked,05/21/2020 11:10:26 AM,B106B,,,B106B,,COVID-19 Closure,,,,"Stillwell Ave., Benson Ave., Bay 43 St.",Lafayette Playground,POINT (-73.98528984420022 40.59450882940557),,,"17,616",21,2,45,35
,Q,Completely Locked,05/21/2020 11:10:26 AM,Q066D,,,Q066D,,COVID-19 Closure,,,,"Hoyt Ave., bet. 24 St. and Crescent St.",Triborough Bridge Playground D,POINT (-73.9215565417972 40.77349304601811),,,"16,859",39,3,4,72
,X,Completely Locked,05/21/2020 11:09:54 AM,X148H,,,X148H,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,S/S E 176 St bet. Crotona Av and Prospect Av,Admiral Farragut Playground,POINT (-73.89207393984692 40.84307448234812),Adults Allowed,X148H-CPA-0001,"10,935",35,5,43,31
,R,Not Lockable,05/21/2020 11:09:25 AM,R089,,,R089,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Greencroft Ave. bet. Ainsworth Ave. and Redgrave Ave.,Greencroft Playground,POINT (-74.13614080934289 40.55211807544102),Adults Allowed,R089-CPA-0001,"10,695",15,1,9,76
,R,Completely Locked,05/21/2020 11:10:23 AM,R105,,,R105,,COVID-19 Closure,,,,"Elizabet.h St., Forest Ave., Broadway, Clove Lake Pl.",Prall Playground,POINT (-74.11813711903565 40.62860283355659),,,"10,697",4,1,13,74
,B,Completely Locked,05/21/2020 11:06:23 AM,B252,,,B252,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Ave. Z between W. 1 St. and West St.,West Playground,POINT (-73.9701573712429 40.58673816164759),Adults Allowed,B252-CPA-0001,"18,183",21,2,45,35
false,X,Completely Locked,05/21/2020 11:09:55 AM,X153,,,X153-01,,COVID-19 Closure,,false,Not Applicable,W 169 St & Merriam Ave,Merriam Plgd (Upper),POINT (-73.92679096652621 40.840368141681346),Adults Allowed,X153-CPA-0001,"10,930",50,5,42,27
,M,Completely Locked,05/21/2020 11:07:02 AM,M010,,,M010-048,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,67 St & 5th Ave,Billy Johnson Plgd,POINT (-73.96987094004493 40.769523666207576),Unknown,M010-CPA-0002,,19,4,19,13
,R,Completely Locked,05/21/2020 11:09:20 AM,R062,,,R062,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Sand La., Major Ave. and Mcfarland Ave.",Arrochar Playground,POINT (-74.07123012077257 40.59770956219811),Unknown,R062-CPA-0001,"10,692",30,1,14,76
,M,Completely Locked,05/21/2020 11:10:17 AM,M255,,,M255,true,COVID-19 Closure,,,,,McKinley Playground,POINT (-73.98573990666199 40.724300489802424),,,"11,729",70,4,50,5
,M,Completely Locked,05/21/2020 11:07:51 AM,M263,,,M263,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"E. 26 St. To E. 28 St., 2 Ave.",Bellevue South Park,POINT (-73.97790282494573 40.74019959765347),Adults Allowed,M263-CPA-0001,"12,078",71,4,50,7
,X,Completely Locked,05/21/2020 11:09:46 AM,X102,,,X102,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,E 188 St bet. Arthur Av and Hughes Av,Ciccarone Park,POINT (-73.88662703413259 40.85582019169882),Adults Allowed,X102-CPA-0001,"10,936",35,5,22,31
,M,Completely Locked,05/21/2020 11:07:16 AM,M056,,,M056-02,,COVID-19 Closure,,false,Not Applicable,W 117 St & Morningside Ave,Morningside Plgd,POINT (-73.95831074188884 40.80605336274242),Adults not allowed in some locations,M056-CPA-0005,"12,422",37,4,23,17
,R,Completely Locked,05/21/2020 11:09:19 AM,R033,,,R033,,COVID-19 Closure,,false,Not Applicable,Jewett Ave. and Castleton Ave.,Levy Playground,POINT (-74.12895313228292 40.63397166716877),Unknown,R033-CPA-0001,"10,370",4,1,13,74
,Q,Not Lockable,05/21/2020 11:08:36 AM,Q220B,,,Q220B,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Van Wyck Exwy. Sr. Rd. E., 142 St., 106 Ave.",Norelli-Hargreaves Playground,POINT (-73.80909565768931 40.69061560444805),Adults Allowed,Q220B-CPA-0001,"24,670",41,3,46,61
,X,Completely Locked,05/21/2020 11:09:53 AM,X148E,,,X148E,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Cross Bronx Exwy Service Rd N bet. Topping Av and Clay Av,Peace Park,POINT (-73.9050033263655 40.8451929127981),Adults Allowed,X148E-CPA-0001,"10,935",6,5,22,29
,Q,Completely Locked,05/21/2020 11:08:56 AM,Q357G,,,Q357G,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Horace Harding Exwy. Sr. Rd. S., 138 St., 61 Rd.",Turtle Playground,POINT (-73.8275987350313 40.742229554476104),Adults not allowed in some locations,Q357G-CPA-0001,"14,509",22,3,24,67
,M,Completely Locked,05/21/2020 11:07:06 AM,M010,,,M010-207,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,108 St & Fifth Ave,Bernard Plgd,POINT (-73.95041266720263 40.79571048920544),Unknown,M010-CPA-0018,,19,4,19,13
,M,Completely Locked,05/21/2020 11:07:42 AM,M211B,,,M211B,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W/s 7 Ave. at W. 130 St.,St. Nicholas Playground North,POINT (-73.94656211887923 40.81216843507374),Unknown,M211B-CPA-0001,"12,424",18,4,36,20
true,M,Partially Locked,05/21/2020 11:07:48 AM,M238,,true,M238,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Amsterdam Ave., W. 104 St. and W. 105 St.",Bloomingdale Playground,POINT (-73.96623924536433 40.79920630552473),Adults Allowed,M238-CPA-0001,"12,422",20,4,23,15
,B,Completely Locked,05/21/2020 11:06:37 AM,B298,,,B298,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Park Ave., Martin Luther King Pl., Marcy Ave.",Stockton Playground,POINT (-73.94819360865246 40.697202021682365),Unknown,B298-CPA-0001,"17,213",69,2,49,51
,M,Completely Locked,05/21/2020 11:07:55 AM,M294,,,M294,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Second Ave. bet. E. 90 St. and E. 91 St.,Ruppert Park,POINT (-73.95035867556676 40.78097339774245),Adults not allowed in some locations,M294-CPA-0001,"10,099",23,4,1,11
,B,Completely Locked,05/21/2020 11:06:07 AM,B207,,,B207,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 38 St., Ave. M, Flatlands Ave.",Sarsfield Playground,POINT (-73.93755898125029 40.62011508710501),Adults Allowed,B207-CPA-0001,"13,825",5,2,26,38
,B,Completely Locked,05/21/2020 11:06:15 AM,B223PC,,,B223PC,,COVID-19 Closure,,false,Not Applicable,"Rodney St., S. 3 St. and S. 4 St.",Rodney Playground South,POINT (-73.95590092225957 40.70980618444638),Adults Allowed,B223PC-CPA-0001,"17,613",36,2,30,56
,X,Completely Locked,05/21/2020 11:09:47 AM,X104,,,X104-02,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Reservoir Oval West & 208 St,Williamsbridge Oval,POINT (-73.87853843813757 40.877330078034326),Adults not allowed in some locations,X104-CPA-0002,"11,605",24,5,40,34
,Q,Completely Locked,05/21/2020 11:08:43 AM,Q301,,,Q301,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Union Hall St., 160 St. bet. 110 Ave. and 109 Ave.",Jamaica Playground,POINT (-73.79028051894427 40.693199649186504),Adults Allowed,Q301-CPA-0001,"24,668",41,3,46,61
,B,Completely Locked,05/21/2020 02:40:30 PM,B028,,,B028-03,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,14 Ave & 86 St,Dyker Plgd,POINT (-74.01270733208919 40.612851115557596),Unknown,B028-CPA-0002,"13,511",10,2,44,41
,M,Completely Locked,05/21/2020 11:07:15 AM,M052,,,M052-02,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,E 25 St & Madison Ave,Madison Square Park,POINT (-73.98733343362774 40.74257706384666),Adults not allowed in some locations,M052-CPA-0001,"12,073",11,4,50,7
,X,Not Lockable,05/21/2020 11:09:43 AM,X046,,,X046-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"233 St, Dereimer St & Baychester Ave",High Rock Plgd,POINT (-73.84085630950743 40.88839107285441),Adults not allowed in some locations,X046-CPA-0001,"11,275",29,5,2,30
,Q,Partially Locked,05/21/2020 11:08:49 AM,Q329,,,Q329,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Kissena Blvd., 155 St. bet. 65 Ave. and Melbourne Ave.",Pomonok Playground,POINT (-73.81388518530281 40.73660646725633),Adults Allowed,Q329-CPA-0001,"14,509",25,3,24,65
,Q,Completely Locked,05/21/2020 11:08:17 AM,Q099,,,Q099-01,,COVID-19 Closure,,false,Not Applicable,62nd Drive And Grand Central Pkwy Service Rd,World's Fair Playground,POINT (-73.84568772492868 40.736741293298735),Unknown,Q099-CPA-0001,"14,786",40,3,28,70
,Q,Completely Locked,05/21/2020 11:10:28 AM,Q376,,,Q376,,COVID-19 Closure,,,,,Cedar Grove Playground,POINT (-73.82447014460872 40.736161178299305),,,"14,509",25,3,24,65
,Q,Completely Locked,05/21/2020 11:10:32 AM,Q163,,,Q163-02,,COVID-19 Closure,,,,,Sandpiper Playground,POINT (-73.82768662288156 40.580140786121255),,,"20,532",51,3,41,58
,B,Completely Locked,05/21/2020 11:06:29 AM,B266,,,B266,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Franklin Ave. between Willoughby Ave. and Dekalb Ave.,Star Spangled Playground,POINT (-73.95769079969445 40.69143271156067),Adults Allowed,B266-CPA-0001,"17,212",69,2,38,51
,B,Completely Locked,05/21/2020 11:06:55 AM,B361,,,B361,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Warren St. to Baltic St. between Hoyt St. and Smith St.,Boerum Park,POINT (-73.99018994369567 40.6845287353325),Adults Allowed,B361-CPA-0001,"16,865",14,2,38,48
,R,Not Lockable,05/21/2020 11:09:18 AM,R031,,,R031-08,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Between Park Building And Pond,Wolfe's Pond Park,POINT (-74.19099352528075 40.516073518021706),Adults not allowed in some locations,R031-CPA-0001,"10,699",15,1,9,77
,M,Completely Locked,05/21/2020 11:07:03 AM,M010,,,M010-103,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"77 St, W/o 5th Ave",James Michael Levin Plgd,POINT (-73.96523041416837 40.77582415428499),Unknown,M010-CPA-0006,,19,4,19,13
true,Q,Partially Locked,05/21/2020 11:10:32 AM,Q008,,,Q008-01,,COVID-19 Closure,,,,,Brookville Playground,POINT (-73.74146880799663 40.663170463732996),,,"15,313",63,3,47,63
,B,Completely Locked,05/21/2020 11:06:18 AM,B232,,,B232,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Dean St. to Bergen St. between 6 Ave. and Carlton Ave.,Dean Playground,POINT (-73.97361848913778 40.681108743269135),Adults Allowed,B232-CPA-0001,"17,619",16,2,48,50
,B,Completely Locked,05/21/2020 11:06:36 AM,B291,,,B291,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ave. N between E. 49 St. and Utica Ave.,Power Playground,POINT (-73.92718871370316 40.618535398524585),Adults Allowed,B291-CPA-0001,"13,825",5,2,8,38
,M,Completely Locked,05/21/2020 11:07:50 AM,M251,,,M251,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Hudson St., Bleecker St. and 8 Ave.",Bleecker Playground,POINT (-74.00545691959022 40.7363336043277),Adults Allowed,M251-CPA-0001,"12,077",57,4,10,3
,M,Completely Locked,05/21/2020 11:07:10 AM,M033,,,M033,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E Houston St, Stanton St, Sheriff St, Pitt St",Hamilton Fish Park,POINT (-73.98045508318076 40.72016262399113),Unknown,M033-CPA-0001,"11,723",70,4,50,4
true,M,Partially Locked,05/21/2020 11:07:49 AM,M245,true,true,M245,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"7 Ave. To 8 Ave., W. 143 St. To W. 144 St.",Renaissance Playground,POINT (-73.94179264689603 40.82151743508389),Adults Allowed,M245-CPA-0001,"12,427",18,4,36,20
,R,Not Lockable,05/21/2020 11:09:17 AM,R022,,,R022-05,,COVID-19 Closure,,false,Not Applicable,Center Of Zone 2 Closer To Victory Blvd,Silver Lake Park Tot Lot,POINT (-74.0907207670213 40.62895395525512),Adults Allowed,R022-CPA-0002,"10,369",4,1,13,74
,Q,Completely Locked,05/21/2020 11:08:38 AM,Q226,,,Q226-02,,COVID-19 Closure,,false,Not Applicable,"1 St, E River, Hallets Cove",Hallets Point Playground (area B),POINT (-73.93757354639126 40.77419461592117),Unknown,Q226-CPA-0002,"16,859",39,3,4,72
,X,Completely Locked,05/21/2020 11:10:13 AM,X284,,,X284,,COVID-19 Closure,,false,Not Applicable,Hoe Av bet. Aldus St and Westchester Av,Printers Park,POINT (-73.89072966871001 40.82335655081821),Adults not allowed in some locations,X284-CPA-0002,"10,937",8,5,43,24
,X,Completely Locked,05/21/2020 11:10:00 AM,X169,,,X169,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Barnes Ave. bet. E. 216 St. and E. 215 St.,Agnes Haywood Playground,POINT (-73.86151791457327 40.880427415315324),Adults Allowed,X169-CPA-0001,"11,605",29,5,2,30
,R,Completely Locked,05/21/2020 11:09:20 AM,R046,,,R046-07,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Bet Graham Blvd, Jefferson Ave, Father Capodanno Blvd.",Midland Beach Playground,POINT (-74.08451083138573 40.57443612280323),Adults Allowed,R046-CPA-0001,"10,692",31,1,14,76
,X,Completely Locked,05/21/2020 11:09:38 AM,X034,,,X034-01,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,E 164 St & Jerome Ave,Mullaly Plgd (1),POINT (-73.92540837132907 40.83137585289406),Adults not allowed in some locations,X034-CPA-0001,"10,930",50,5,42,27
,Q,Completely Locked,05/21/2020 11:07:58 AM,Q002,,,Q002,,COVID-19 Closure,,false,Not Applicable,Stanhope St. bet. Fairvier Ave. and Grandview Ave.,Grover Cleveland Playground,POINT (-73.91102624088246 40.711458779117294),Adults not allowed in some locations,Q002-CPA-0001,"15,310",54,3,30,62
,R,Not Lockable,05/21/2020 11:10:32 AM,R046,,,R046-01,,COVID-19 Closure,,,,,South Beach Playground,POINT (-74.0633282511802 40.59222427173603),,,"10,692",31,1,14,76
,B,Completely Locked,05/21/2020 11:10:27 AM,B387,,,B387,,COVID-19 Closure,,,,,Hilltop Playground,POINT (-73.91433859819634 40.67532564231405),,,"13,516",55,2,17,46
,Q,Partially Locked,05/21/2020 11:08:46 AM,Q314,,,Q314,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,67 Ave. bet. 173 St. and 174 St.,Fresh Meadows Playground,POINT (-73.7964406711299 40.734366259309816),Adults Allowed,Q314-CPA-0001,"14,507",25,3,24,65
true,M,Partially Locked,05/21/2020 11:07:28 AM,M111,true,,M111,,COVID-19 Closure,,true,Level 1: Playgrounds for All Children,E. 115 St. bet. 3 Ave. and Lexington Ave.,James Weldon Johnson Playground,POINT (-73.94226350605727 40.79728209100962),Adults Allowed,M111-CPA-0001,"12,426",7,4,35,14
false,X,Completely Locked,05/21/2020 11:10:10 AM,X258,,,X258,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Anthony Av bet. Prospect Pl and Ittner Pl,Cleopatra Playground,POINT (-73.9042171996137 40.845564758816295),Adults Allowed,X258-CPA-0001,"10,935",6,5,22,29
,Q,Completely Locked,05/21/2020 11:08:51 AM,Q342,,,Q342,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,164 St. bet. 65 Ave. and 67 Ave.,Electric Playground,POINT (-73.80544837791278 40.73561777885169),Adults Allowed,Q342-CPA-0001,"14,507",25,3,24,65
,B,Completely Locked,05/21/2020 11:10:34 AM,B385,,,B385,true,COVID-19 Closure,,,,,Transmitter,POINT (-73.96075155236146 40.729860595826246),,,"18,182",36,2,38,57
,Q,Completely Locked,05/21/2020 11:08:36 AM,Q218,,,Q218,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"28 St., Crescent St. bet. 37 Ave. and 36 Ave.",Dutch Kills Playground,POINT (-73.93303856113954 40.75779875775367),Adults Allowed,Q218-CPA-0001,"16,863",39,3,33,72
,B,Completely Locked,05/21/2020 11:05:59 AM,B142,,,B142,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Bedford Ave. bet. S. 9 St. and Division Ave.,Bedford Playground,POINT (-73.96401899423562 40.708099934398),Adults Allowed,B142-CPA-0001,"17,613",36,2,38,56
,Q,Partially Locked,05/21/2020 11:08:55 AM,Q352,,,Q352,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,82 Ave. bet. 256 St. and 257 St.,Hillside Playground,POINT (-73.71296915125657 40.74073556738071),Adults Allowed,Q352-CPA-0001,"16,098",63,3,16,63
,X,Completely Locked,05/21/2020 11:10:15 AM,X302,,,X302,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 183 St bet. Park Av and Webster Av,Thorpe Family Playground,POINT (-73.89487949773847 40.85623539569055),Adults not allowed in some locations,X302-CPA-0001,"10,936",35,5,22,31
,M,Completely Locked,05/21/2020 11:07:52 AM,M264,,,M264,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"W. 89 St., Amsterdam Ave. and Columbus Ave.",Playground Eighty Nine LXXXIX,POINT (-73.97177270292322 40.788560957606),Adults not allowed in some locations,M264-CPA-0001,"12,421",20,4,19,15
,M,Completely Locked,05/21/2020 11:07:39 AM,M199,,,M199,,COVID-19 Closure,,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,W. 204 St. bet. 10 Ave. and Nagle Ave.,Monsignor Kett Playground,POINT (-73.92067061898437 40.8626335523917),Adults Allowed,M199-CPA-0001,"13,092",47,4,39,22
,B,Completely Locked,05/21/2020 11:06:49 AM,B339,,,B339,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Riverdale Ave. bet. Thatford Ave. and Osborn St.,Newport Playground,POINT (-73.9069315968374 40.661080323904635),Adults not allowed in some locations,B339-CPA-0001,"17,614",55,2,25,46
,B,Completely Locked,05/21/2020 11:10:20 AM,B127,,,B127,,COVID-19 Closure,,,,Scholes St. bet. Manhattan Ave. and Graham Ave.,Martinez Playground,POINT (-73.9446026718634 40.70907217948066),,,"17,213",36,2,30,56
,M,Completely Locked,05/21/2020 11:07:52 AM,M273,,,M273-01,,COVID-19 Closure,,false,Not Applicable,E 124 St Bet 1 & 2 Aves,Othmar Ammann Playground,POINT (-73.93249106413707 40.801745461053144),Unknown,M273-CPA-0001,"13,093",7,4,35,16
,Q,Completely Locked,05/21/2020 11:08:11 AM,Q046,,,Q046,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,102 St. bet. Corona Ave. and Alstyne Ave.,Josephine Caminiti Playground,POINT (-73.86152162227714 40.74400898009541),Adults Allowed,Q046-CPA-0001,"14,510",66,3,21,68
true,M,Partially Locked,05/21/2020 04:00:25 PM,M158,,true,M158,,COVID-19 Closure,true,,,"1 Ave., bet. E. 41 St. and E. 42 St.",Robert Moses Playground,POINT (-73.96967127385228 40.748276004548025),,,"12,079",71,4,51,9
true,Q,Partially Locked,05/21/2020 11:08:28 AM,Q126,,,Q126-01,,COVID-19 Closure,,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"3 Ave, Whitestone Bridge Approach",Francis Lewis Playground,POINT (-73.8246092869839 40.79647978305262),Unknown,Q126-CPA-0001,"14,192",22,3,20,67
,Q,Completely Locked,05/21/2020 11:09:07 AM,Q408,,,Q408,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,155 Ave. bet. 83 St. and 84 St.,Harold Schneiderman Playground,POINT (-73.85064519473025 40.664838169212),Adults Allowed,Q408-CPA-0001,"15,314",62,3,41,64
,X,Completely Locked,05/21/2020 11:09:33 AM,X010A,,,X010A-01,,COVID-19 Closure,,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,E Tremont & Arthur Aves,Tremont Plgd (1),POINT (-73.89373235164783 40.846123232535064),Adults Allowed,X010A-CPA-0001,,35,5,22,31
,B,Completely Locked,05/21/2020 11:06:05 AM,B163,,,B163,,COVID-19 Closure,,false,Not Applicable,"Atlantic Ave., Cleveland St. and Liberty Ave.",Sperandeo Brothers Playground,POINT (-73.88385300640164 40.67776038323962),Adults Allowed,B163-CPA-0001,"17,215",45,2,37,47
